"Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector"
1991,Nevada,88,Priv. Construction,167,"45,846","8,039","9,941",17.50%,21.70%
1991,Nevada,88,Priv. Manufacturing,93,"24,422","1,835","1,835",7.50%,7.50%
1991,Nevada,88,Private,1838,"493,098","70,055","79,715",14.20%,16.20%
1991,Nevada,88,Public,358,"93,509","37,086","45,698",39.70%,48.90%
1991,Nevada,88,Total,2196,"586,607","107,141","125,413",18.30%,21.40%
1992,Nevada,88,Priv. Construction,135,"39,599","9,077","9,996",22.90%,25.20%
1992,Nevada,88,Priv. Manufacturing,95,"27,946","1,126","1,354",4.00%,4.80%
1992,Nevada,88,Private,1763,"510,848","75,438","82,906",14.80%,16.20%
1992,Nevada,88,Public,337,"95,575","39,232","47,934",41.00%,50.20%
1992,Nevada,88,Total,2100,"606,424","114,669","130,840",18.90%,21.60%
1993,Nevada,88,Priv. Construction,150,"48,179","12,340","14,393",25.60%,29.90%
1993,Nevada,88,Priv. Manufacturing,100,"31,613","2,970","3,827",9.40%,12.10%
1993,Nevada,88,Private,1669,"522,825","74,954","84,359",14.30%,16.10%
1993,Nevada,88,Public,291,"89,825","33,385","43,676",37.20%,48.60%
1993,Nevada,88,Total,1960,"612,650","108,339","128,036",17.70%,20.90%
1994,Nevada,88,Priv. Construction,147,"51,010","9,954","10,612",19.50%,20.80%
1994,Nevada,88,Priv. Manufacturing,107,"36,251","2,482","3,068",6.80%,8.50%
1994,Nevada,88,Private,1685,"570,400","82,643","92,964",14.50%,16.30%
1994,Nevada,88,Public,270,"88,106","38,213","43,073",43.40%,48.90%
1994,Nevada,88,Total,1955,"658,506","120,857","136,036",18.40%,20.70%
1995,Nevada,88,Priv. Construction,137,"55,441","11,337","12,904",20.40%,23.30%
1995,Nevada,88,Priv. Manufacturing,86,"32,705","2,779","2,779",8.50%,8.50%
1995,Nevada,88,Private,1535,"580,642","96,095","107,545",16.50%,18.50%
1995,Nevada,88,Public,273,"98,862","40,949","53,087",41.40%,53.70%
1995,Nevada,88,Total,1808,"679,503","137,043","160,632",20.20%,23.60%
1996,Nevada,88,Priv. Construction,149,"60,944","16,044","16,758",26.30%,27.50%
1996,Nevada,88,Priv. Manufacturing,113,"44,647","4,265","6,420",9.60%,14.40%
1996,Nevada,88,Private,1616,"629,837","99,673","118,452",15.80%,18.80%
1996,Nevada,88,Public,251,"92,997","47,627","57,280",51.20%,61.60%
1996,Nevada,88,Total,1867,"722,834","147,299","175,732",20.40%,24.30%
1997,Nevada,88,Priv. Construction,165,"65,478","22,852","24,039",34.90%,36.70%
1997,Nevada,88,Priv. Manufacturing,106,"39,281","3,494","4,594",8.90%,11.70%
1997,Nevada,88,Private,1739,"663,886","103,158","130,012",15.50%,19.60%
1997,Nevada,88,Public,291,"106,598","43,957","55,644",41.20%,52.20%
1997,Nevada,88,Total,2030,"770,484","147,115","185,656",19.10%,24.10%
1998,Nevada,88,Priv. Construction,161,"61,899","15,702","16,392",25.40%,26.50%
1998,Nevada,88,Priv. Manufacturing,113,"43,142","1,193","1,810",2.80%,4.20%
1998,Nevada,88,Private,1819,"689,144","96,940","106,571",14.10%,15.50%
1998,Nevada,88,Public,279,"99,274","36,853","42,213",37.10%,42.50%
1998,Nevada,88,Total,2098,"788,418","133,793","148,784",17.00%,18.90%
1999,Nevada,88,Priv. Construction,207,"74,983","16,609","16,944",22.10%,22.60%
1999,Nevada,88,Priv. Manufacturing,107,"39,014","3,825","4,192",9.80%,10.70%
1999,Nevada,88,Private,1971,"710,636","113,439","119,601",16.00%,16.80%
1999,Nevada,88,Public,326,"112,636","47,399","52,647",42.10%,46.70%
1999,Nevada,88,Total,2297,"823,272","160,838","172,248",19.50%,20.90%
2000,Nevada,88,Priv. Construction,224,"78,403","18,501","19,375",23.60%,24.70%
2000,Nevada,88,Priv. Manufacturing,109,"38,631","2,687","2,687",7.00%,7.00%
2000,Nevada,88,Private,2138,"765,858","105,410","111,538",13.80%,14.60%
2000,Nevada,88,Public,332,"114,900","45,516","53,736",39.60%,46.80%
2000,Nevada,88,Total,2470,"880,757","150,926","165,274",17.10%,18.80%
2001,Nevada,88,Priv. Construction,243,"73,919","15,623","15,623",21.10%,21.10%
2001,Nevada,88,Priv. Manufacturing,132,"38,675","3,658","3,658",9.50%,9.50%
2001,Nevada,88,Private,2496,"759,328","103,046","107,820",13.60%,14.20%
2001,Nevada,88,Public,377,"112,996","42,919","49,764",38.00%,44.00%
2001,Nevada,88,Total,2873,"872,323","145,965","157,583",16.70%,18.10%
2002,Nevada,88,Priv. Construction,327,"80,038","17,076","17,076",21.30%,21.30%
2002,Nevada,88,Priv. Manufacturing,175,"41,218","1,967","1,967",4.80%,4.80%
2002,Nevada,88,Private,3137,"772,730","94,352","98,476",12.20%,12.70%
2002,Nevada,88,Public,518,"124,540","42,158","51,151",33.90%,41.10%
2002,Nevada,88,Total,3655,"897,270","136,510","149,627",15.20%,16.70%
2003,Nevada,88,Priv. Construction,313,"84,037","15,702","15,974",18.70%,19.00%
2003,Nevada,88,Priv. Manufacturing,157,"38,645","2,406","2,697",6.20%,7.00%
2003,Nevada,88,Private,3225,"823,191","97,710","104,053",11.90%,12.60%
2003,Nevada,88,Public,489,"119,535","38,350","44,462",32.10%,37.20%
2003,Nevada,88,Total,3714,"942,726","136,060","148,514",14.40%,15.80%
2004,Nevada,88,Priv. Construction,294,"96,518","15,020","15,647",15.60%,16.20%
2004,Nevada,88,Priv. Manufacturing,154,"47,132","1,283","1,283",2.70%,2.70%
2004,Nevada,88,Private,2839,"888,535","88,704","97,399",10.00%,11.00%
2004,Nevada,88,Public,390,"117,507","37,288","46,512",31.70%,39.60%
2004,Nevada,88,Total,3229,"1,006,042","125,992","143,912",12.50%,14.30%
2005,Nevada,88,Priv. Construction,309,"120,864","24,221","25,322",20.00%,21.00%
2005,Nevada,88,Priv. Manufacturing,116,"43,903","3,447","3,854",7.90%,8.80%
2005,Nevada,88,Private,2447,"931,933","111,927","120,385",12.00%,12.90%
2005,Nevada,88,Public,318,"118,568","33,392","37,957",28.20%,32.00%
2005,Nevada,88,Total,2765,"1,050,501","145,320","158,343",13.80%,15.10%
2006,Nevada,88,Priv. Construction,335,"134,833","26,346","28,209",19.50%,20.90%
2006,Nevada,88,Priv. Manufacturing,104,"39,453","1,217","2,440",3.10%,6.20%
2006,Nevada,88,Private,2573,"995,580","124,190","139,433",12.50%,14.00%
2006,Nevada,88,Public,348,"128,651","42,329","52,037",32.90%,40.40%
2006,Nevada,88,Total,2921,"1,124,231","166,518","191,470",14.80%,17.00%
2007,Nevada,88,Priv. Construction,314,"126,774","28,729","30,501",22.70%,24.10%
2007,Nevada,88,Priv. Manufacturing,92,"36,632","3,232","4,292",8.80%,11.70%
2007,Nevada,88,Private,2586,"1,028,174","131,552","145,651",12.80%,14.20%
2007,Nevada,88,Public,393,"149,080","50,027","62,406",33.60%,41.90%
2007,Nevada,88,Total,2979,"1,177,255","181,580","208,057",15.40%,17.70%
2008,Nevada,88,Priv. Construction,262,"118,918","40,415","40,415",34.00%,34.00%
2008,Nevada,88,Priv. Manufacturing,105,"43,495","3,090","3,910",7.10%,9.00%
2008,Nevada,88,Private,2418,"1,043,744","144,817","153,243",13.90%,14.70%
2008,Nevada,88,Public,360,"148,579","54,160","63,500",36.50%,42.70%
2008,Nevada,88,Total,2778,"1,192,323","198,976","216,743",16.70%,18.20%
2009,Nevada,88,Priv. Construction,186,"82,524","28,045","28,860",34.00%,35.00%
2009,Nevada,88,Priv. Manufacturing,91,"37,870","4,046","4,046",10.70%,10.70%
2009,Nevada,88,Private,2241,"940,074","119,210","128,489",12.70%,13.70%
2009,Nevada,88,Public,385,"156,767","53,390","59,894",34.10%,38.20%
2009,Nevada,88,Total,2626,"1,096,841","172,599","188,383",15.70%,17.20%
2010,Nevada,88,Priv. Construction,125,"54,860","16,678","17,481",30.40%,31.90%
2010,Nevada,88,Priv. Manufacturing,100,"40,953","2,797","2,797",6.80%,6.80%
2010,Nevada,88,Private,2078,"866,154","93,206","103,392",10.80%,11.90%
2010,Nevada,88,Public,355,"145,577","58,068","66,487",39.90%,45.70%
2010,Nevada,88,Total,2433,"1,011,731","151,274","169,879",15.00%,16.80%
2011,Nevada,88,Priv. Construction,97,"41,758","12,191","13,087",29.20%,31.30%
2011,Nevada,88,Priv. Manufacturing,124,"51,199","1,666","2,069",3.30%,4.00%
2011,Nevada,88,Private,2152,"916,851","99,273","111,923",10.80%,12.20%
2011,Nevada,88,Public,321,"132,757","54,339","62,594",40.90%,47.10%
2011,Nevada,88,Total,2473,"1,049,608","153,611","174,517",14.60%,16.60%
2012,Nevada,88,Priv. Construction,122,"54,931","11,647","11,647",21.20%,21.20%
2012,Nevada,88,Priv. Manufacturing,119,"53,345","5,591","5,591",10.50%,10.50%
2012,Nevada,88,Private,2140,"963,611","107,352","117,630",11.10%,12.20%
2012,Nevada,88,Public,308,"136,606","54,997","63,409",40.30%,46.40%
2012,Nevada,88,Total,2448,"1,100,217","162,349","181,039",14.80%,16.50%
2013,Nevada,88,Priv. Construction,127,"60,844","14,333","14,333",23.60%,23.60%
2013,Nevada,88,Priv. Manufacturing,102,"48,375","2,449","2,449",5.10%,5.10%
2013,Nevada,88,Private,2084,"1,000,341","110,480","118,934",11.00%,11.90%
2013,Nevada,88,Public,330,"152,268","57,844","66,532",38.00%,43.70%
2013,Nevada,88,Total,2414,"1,152,609","168,323","185,467",14.60%,16.10%
2014,Nevada,88,Priv. Construction,137,"72,921","8,758","8,758",12.00%,12.00%
2014,Nevada,88,Priv. Manufacturing,104,"51,309","3,949","3,949",7.70%,7.70%
2014,Nevada,88,Private,2007,"1,014,776","120,724","132,201",11.90%,13.00%
2014,Nevada,88,Public,328,"159,558","48,537","60,370",30.40%,37.80%
2014,Nevada,88,Total,2335,"1,174,334","169,261","192,572",14.40%,16.40%
2015,Nevada,88,Priv. Construction,139,"82,050","15,842","16,513",19.30%,20.10%
2015,Nevada,88,Priv. Manufacturing,90,"53,603","6,033","8,021",11.30%,15.00%
2015,Nevada,88,Private,1802,"1,050,995","117,795","126,381",11.20%,12.00%
2015,Nevada,88,Public,313,"180,197","58,312","75,681",32.40%,42.00%
2015,Nevada,88,Total,2115,"1,231,192","176,107","202,062",14.30%,16.40%
2016,Nevada,88,Priv. Construction,132,"80,663","13,498","13,498",16.70%,16.70%
2016,Nevada,88,Priv. Manufacturing,84,"48,874","2,319","2,865",4.70%,5.90%
2016,Nevada,88,Private,1758,"1,051,799","101,720","119,514",9.70%,11.40%
2016,Nevada,88,Public,271,"161,763","44,506","62,257",27.50%,38.50%
2016,Nevada,88,Total,2029,"1,213,562","146,225","181,771",12.00%,15.00%
2017,Nevada,88,Priv. Construction,153,"97,679","16,961","16,961",17.40%,17.40%
2017,Nevada,88,Priv. Manufacturing,99,"60,416","4,112","4,112",6.80%,6.80%
2017,Nevada,88,Private,1830,"1,128,158","109,550","119,141",9.70%,10.60%
2017,Nevada,88,Public,269,"162,527","54,736","69,460",33.70%,42.70%
2017,Nevada,88,Total,2099,"1,290,685","164,287","188,602",12.70%,14.60%
2018,Nevada,88,Priv. Construction,144,"93,653","18,292","18,818",19.50%,20.10%
2018,Nevada,88,Priv. Manufacturing,109,"69,951","3,488","4,571",5.00%,6.50%
2018,Nevada,88,Private,1864,"1,200,943","132,833","144,950",11.10%,12.10%
2018,Nevada,88,Public,281,"176,108","57,941","70,513",32.90%,40.00%
2018,Nevada,88,Total,2145,"1,377,052","190,774","215,463",13.90%,15.60%
2019,Nevada,88,Priv. Construction,165,"107,800","27,822","27,822",25.80%,25.80%
2019,Nevada,88,Priv. Manufacturing,101,"68,080","6,640","7,380",9.80%,10.80%
2019,Nevada,88,Private,1815,"1,186,995","137,559","146,362",11.60%,12.30%
2019,Nevada,88,Public,301,"191,732","63,108","74,977",32.90%,39.10%
2019,Nevada,88,Total,2116,"1,378,727","200,667","221,339",14.60%,16.10%
2020,Nevada,88,Priv. Construction,149,"105,222","22,877","22,877",21.70%,21.70%
2020,Nevada,88,Priv. Manufacturing,87,"61,974","7,751","8,334",12.50%,13.40%
2020,Nevada,88,Private,1460,"1,029,942","98,956","109,255",9.60%,10.60%
2020,Nevada,88,Public,259,"180,044","62,620","76,802",34.80%,42.70%
2020,Nevada,88,Total,1719,"1,209,986","161,575","186,057",13.40%,15.40%
2021,Nevada,88,Priv. Construction,120,"91,550","14,523","15,585",15.90%,17.00%
2021,Nevada,88,Priv. Manufacturing,76,"53,488","2,444","3,103",4.60%,5.80%
2021,Nevada,88,Private,1523,"1,097,285","90,973","102,677",8.30%,9.40%
2021,Nevada,88,Public,225,"152,728","61,270","72,639",40.10%,47.60%
2021,Nevada,88,Total,1748,"1,250,012","152,243","175,316",12.20%,14.00%
2022,Nevada,88,Priv. Construction,116,"89,564","13,106","15,139",14.60%,16.90%
2022,Nevada,88,Priv. Manufacturing,101,"76,339","2,745","3,334",3.60%,4.40%
2022,Nevada,88,Private,1478,"1,134,234","91,110","101,225",8.00%,8.90%
2022,Nevada,88,Public,206,"149,949","54,341","63,044",36.20%,42.00%
2022,Nevada,88,Total,1684,"1,284,183","145,451","164,269",11.30%,12.80%
1983,New Hampshire,12,Priv. Construction,93,"19,504","3,956","4,354",20.30%,22.30%
1983,New Hampshire,12,Priv. Manufacturing,577,"124,957","13,185","14,774",10.60%,11.80%
1983,New Hampshire,12,Private,1670,"364,170","27,313","31,619",7.50%,8.70%
1983,New Hampshire,12,Public,284,"59,244","21,227","29,197",35.80%,49.30%
1983,New Hampshire,12,Total,1954,"423,414","48,539","60,815",11.50%,14.40%
1984,New Hampshire,12,Priv. Construction,101,"22,041","4,259","4,956",19.30%,22.50%
1984,New Hampshire,12,Priv. Manufacturing,616,"144,567","13,358","15,143",9.20%,10.50%
1984,New Hampshire,12,Private,1674,"388,270","28,278","32,026",7.30%,8.20%
1984,New Hampshire,12,Public,246,"55,953","17,646","23,178",31.50%,41.40%
1984,New Hampshire,12,Total,1920,"444,223","45,923","55,204",10.30%,12.40%
1985,New Hampshire,12,Priv. Construction,132,"33,815","3,892","4,166",11.50%,12.30%
1985,New Hampshire,12,Priv. Manufacturing,546,"142,169","13,188","14,409",9.30%,10.10%
1985,New Hampshire,12,Private,1527,"394,138","27,140","29,817",6.90%,7.60%
1985,New Hampshire,12,Public,242,"61,557","21,667","24,937",35.20%,40.50%
1985,New Hampshire,12,Total,1769,"455,695","48,806","54,754",10.70%,12.00%
1986,New Hampshire,12,Priv. Construction,125,"35,105","2,184","2,490",6.20%,7.10%
1986,New Hampshire,12,Priv. Manufacturing,517,"148,191","14,508","17,155",9.80%,11.60%
1986,New Hampshire,12,Private,1489,"419,882","29,931","34,051",7.10%,8.10%
1986,New Hampshire,12,Public,236,"65,300","23,507","31,418",36.00%,48.10%
1986,New Hampshire,12,Total,1725,"485,182","53,438","65,469",11.00%,13.50%
1987,New Hampshire,12,Priv. Construction,141,"39,110","2,469","2,469",6.30%,6.30%
1987,New Hampshire,12,Priv. Manufacturing,545,"151,429","11,250","12,046",7.40%,8.00%
1987,New Hampshire,12,Private,1615,"444,229","26,678","29,373",6.00%,6.60%
1987,New Hampshire,12,Public,239,"63,552","23,341","29,350",36.70%,46.20%
1987,New Hampshire,12,Total,1854,"507,780","50,019","58,723",9.90%,11.60%
1988,New Hampshire,12,Priv. Construction,137,"40,741","2,680","3,469",6.60%,8.50%
1988,New Hampshire,12,Priv. Manufacturing,502,"143,240","13,270","15,403",9.30%,10.80%
1988,New Hampshire,12,Private,1566,"442,277","28,649","32,699",6.50%,7.40%
1988,New Hampshire,12,Public,213,"58,392","22,521","28,075",38.60%,48.10%
1988,New Hampshire,12,Total,1779,"500,669","51,171","60,774",10.20%,12.10%
1989,New Hampshire,12,Priv. Construction,101,"29,771","3,756","3,756",12.60%,12.60%
1989,New Hampshire,12,Priv. Manufacturing,505,"144,168","13,052","14,376",9.10%,10.00%
1989,New Hampshire,12,Private,1550,"444,713","31,996","36,171",7.20%,8.10%
1989,New Hampshire,12,Public,233,"64,181","26,895","31,456",41.90%,49.00%
1989,New Hampshire,12,Total,1783,"508,894","58,890","67,628",11.60%,13.30%
1990,New Hampshire,12,Priv. Construction,90,"26,499","3,633","3,926",13.70%,14.80%
1990,New Hampshire,12,Priv. Manufacturing,474,"141,564","12,141","13,847",8.60%,9.80%
1990,New Hampshire,12,Private,1509,"447,634","29,342","32,571",6.60%,7.30%
1990,New Hampshire,12,Public,239,"68,734","29,755","34,403",43.30%,50.10%
1990,New Hampshire,12,Total,1748,"516,367","59,097","66,974",11.40%,13.00%
1991,New Hampshire,12,Priv. Construction,65,"20,128",872,872,4.30%,4.30%
1991,New Hampshire,12,Priv. Manufacturing,402,"127,095","11,388","12,224",9.00%,9.60%
1991,New Hampshire,12,Private,1353,"433,293","27,906","31,630",6.40%,7.30%
1991,New Hampshire,12,Public,239,"73,181","30,564","35,094",41.80%,48.00%
1991,New Hampshire,12,Total,1592,"506,474","58,469","66,724",11.50%,13.20%
1992,New Hampshire,12,Priv. Construction,50,"16,090",615,615,3.80%,3.80%
1992,New Hampshire,12,Priv. Manufacturing,383,"124,295","8,393","9,680",6.80%,7.80%
1992,New Hampshire,12,Private,1343,"432,033","20,664","24,430",4.80%,5.70%
1992,New Hampshire,12,Public,212,"65,930","27,663","36,399",42.00%,55.20%
1992,New Hampshire,12,Total,1555,"497,963","48,327","60,829",9.70%,12.20%
1993,New Hampshire,12,Priv. Construction,63,"20,184","2,212","2,212",11.00%,11.00%
1993,New Hampshire,12,Priv. Manufacturing,387,"126,831","8,179","10,106",6.40%,8.00%
1993,New Hampshire,12,Private,1411,"452,393","19,850","23,817",4.40%,5.30%
1993,New Hampshire,12,Public,210,"65,567","22,855","30,500",34.90%,46.50%
1993,New Hampshire,12,Total,1621,"517,960","42,704","54,318",8.20%,10.50%
1994,New Hampshire,12,Priv. Construction,51,"17,402","2,203","2,951",12.70%,17.00%
1994,New Hampshire,12,Priv. Manufacturing,356,"122,356","9,058","9,834",7.40%,8.00%
1994,New Hampshire,12,Private,1287,"444,765","24,055","27,523",5.40%,6.20%
1994,New Hampshire,12,Public,208,"70,070","31,090","39,268",44.40%,56.00%
1994,New Hampshire,12,Total,1495,"514,835","55,145","66,791",10.70%,13.00%
1995,New Hampshire,12,Priv. Construction,57,"19,667","2,973","2,973",15.10%,15.10%
1995,New Hampshire,12,Priv. Manufacturing,364,"122,902","7,957","8,846",6.50%,7.20%
1995,New Hampshire,12,Private,1317,"448,731","28,292","31,385",6.30%,7.00%
1995,New Hampshire,12,Public,238,"79,132","38,349","45,034",48.50%,56.90%
1995,New Hampshire,12,Total,1555,"527,863","66,641","76,419",12.60%,14.50%
1996,New Hampshire,12,Priv. Construction,61,"19,997","2,598","2,598",13.00%,13.00%
1996,New Hampshire,12,Priv. Manufacturing,381,"126,123","6,213","6,805",4.90%,5.40%
1996,New Hampshire,12,Private,1343,"438,101","20,837","22,759",4.80%,5.20%
1996,New Hampshire,12,Public,240,"76,293","36,524","42,077",47.90%,55.20%
1996,New Hampshire,12,Total,1583,"514,393","57,361","64,835",11.20%,12.60%
1997,New Hampshire,12,Priv. Construction,70,"22,650","3,105","3,544",13.70%,15.60%
1997,New Hampshire,12,Priv. Manufacturing,401,"132,320","8,672","10,169",6.60%,7.70%
1997,New Hampshire,12,Private,1440,"467,880","22,908","25,087",4.90%,5.40%
1997,New Hampshire,12,Public,237,"75,893","32,723","37,563",43.10%,49.50%
1997,New Hampshire,12,Total,1677,"543,773","55,631","62,650",10.20%,11.50%
1998,New Hampshire,12,Priv. Construction,71,"23,374","4,780","4,780",20.40%,20.40%
1998,New Hampshire,12,Priv. Manufacturing,393,"125,684","9,468","10,361",7.50%,8.20%
1998,New Hampshire,12,Private,1494,"476,829","26,715","28,154",5.60%,5.90%
1998,New Hampshire,12,Public,260,"82,123","34,961","42,383",42.60%,51.60%
1998,New Hampshire,12,Total,1754,"558,952","61,676","70,538",11.00%,12.60%
1999,New Hampshire,12,Priv. Construction,88,"29,010","4,035","4,665",13.90%,16.10%
1999,New Hampshire,12,Priv. Manufacturing,335,"105,168","7,168","8,082",6.80%,7.70%
1999,New Hampshire,12,Private,1541,"485,461","26,762","29,738",5.50%,6.10%
1999,New Hampshire,12,Public,265,"79,869","33,257","39,257",41.60%,49.20%
1999,New Hampshire,12,Total,1806,"565,330","60,019","68,995",10.60%,12.20%
2000,New Hampshire,12,Priv. Construction,96,"29,778","5,648","5,648",19.00%,19.00%
2000,New Hampshire,12,Priv. Manufacturing,373,"116,176","8,204","8,487",7.10%,7.30%
2000,New Hampshire,12,Private,1584,"498,915","31,184","32,694",6.30%,6.60%
2000,New Hampshire,12,Public,254,"76,706","28,656","34,033",37.40%,44.40%
2000,New Hampshire,12,Total,1838,"575,621","59,840","66,727",10.40%,11.60%
2001,New Hampshire,12,Priv. Construction,150,"33,448","4,304","4,304",12.90%,12.90%
2001,New Hampshire,12,Priv. Manufacturing,526,"117,313","6,236","6,375",5.30%,5.40%
2001,New Hampshire,12,Private,2296,"521,911","25,041","26,729",4.80%,5.10%
2001,New Hampshire,12,Public,343,"73,467","31,903","36,479",43.40%,49.70%
2001,New Hampshire,12,Total,2639,"595,378","56,944","63,208",9.60%,10.60%
2002,New Hampshire,12,Priv. Construction,178,"31,357","5,796","5,796",18.50%,18.50%
2002,New Hampshire,12,Priv. Manufacturing,603,"104,929","5,484","5,982",5.20%,5.70%
2002,New Hampshire,12,Private,2918,"506,802","22,750","25,063",4.50%,4.90%
2002,New Hampshire,12,Public,487,"81,351","34,836","40,712",42.80%,50.00%
2002,New Hampshire,12,Total,3405,"588,153","57,585","65,775",9.80%,11.20%
2003,New Hampshire,12,Priv. Construction,177,"30,479","5,298","5,650",17.40%,18.50%
2003,New Hampshire,12,Priv. Manufacturing,600,"103,858","4,751","5,426",4.60%,5.20%
2003,New Hampshire,12,Private,3019,"525,187","24,497","29,043",4.70%,5.50%
2003,New Hampshire,12,Public,489,"81,568","31,978","39,795",39.20%,48.80%
2003,New Hampshire,12,Total,3508,"606,755","56,475","68,838",9.30%,11.30%
2004,New Hampshire,12,Priv. Construction,198,"34,380","4,404","4,404",12.80%,12.80%
2004,New Hampshire,12,Priv. Manufacturing,616,"103,906","5,548","6,528",5.30%,6.30%
2004,New Hampshire,12,Private,3155,"532,768","25,518","27,541",4.80%,5.20%
2004,New Hampshire,12,Public,519,"85,673","35,427","40,758",41.40%,47.60%
2004,New Hampshire,12,Total,3674,"618,441","60,945","68,299",9.90%,11.00%
2005,New Hampshire,12,Priv. Construction,213,"35,058","2,639","2,983",7.50%,8.50%
2005,New Hampshire,12,Priv. Manufacturing,609,"97,051","4,282","4,574",4.40%,4.70%
2005,New Hampshire,12,Private,3350,"540,432","21,677","24,383",4.00%,4.50%
2005,New Hampshire,12,Public,558,"86,928","43,345","47,722",49.90%,54.90%
2005,New Hampshire,12,Total,3908,"627,359","65,022","72,105",10.40%,11.50%
